Month,Revenue,,Productline,Total_Sales,,Country,Unique_Customers,Revenue,,,Deal_Size,Order_Count,Total_Revenue,Revenue_Percentage,,,Quarter,Revenue,Growth_Percentage,,,Customer_Name,Order_Count,Total_Spend,,,Productline,Total_Revenue,Avg_Price_PerUnit,Total_Units_Sold,Estimated_Profit
2004-12,103888.52,,,,,Philippines,1,91468.93,,,,,,,,,Q2 2007,219904.25,-20.68,,,,,,,,,,,,
2005-01,162227.51,,,,,Ireland,1,57756.43,,,,,,,,,Q3 2007,193146.83,-12.17,,,,,,,,,,,,
2005-02,147219.66,,,,,,,,,,,,,,,,Q4 2007,427319.32,121.24,,,,,,,,,,,,
2005-03,112638.98,,,,,,,,,,,,,,,,Q1 2008,256253.44,-40.03,,,,,,,,,,,,
2005-04,151295.71,,,,,,,,,,,,,,,,Q2 2008,225015.16,-12.19,,,,,,,,,,,,
2005-05,107349.65,,,,,,,,,,,,,,,,Q3 2008,182610.01,-18.85,,,,,,,,,,,,
2005-06,130213.84,,,,,,,,,,,,,,,,Q4 2008,430897.49,135.97,,,,,,,,,,,,
2005-07,125122.73,,,,,,,,,,,,,,,,Q1 2009,241773.56,-43.89,,,,,,,,,,,,
2005-08,75473.07,,,,,,,,,,,,,,,,Q2 2009,206661.56,-14.52,,,,,,,,,,,,
2005-09,70982.97,,,,,,,,,,,,,,,,Q3 2009,162784.17,-21.23,,,,,,,,,,,,
2005-10,132643.44,,,,,,,,,,,,,,,,Q4 2009,417720.67,156.61,,,,,,,,,,,,
2005-11,123572.37,,,,,,,,,,,,,,,,Q1 2010,298313.9,-28.59,,,,,,,,,,,,
2005-12,114506.11,,,,,,,,,,,,,,,,Q2 2010,256731.97,-13.94,,,,,,,,,,,,
2006-01,73078.93,,,,,,,,,,,,,,,,Q3 2010,197700.25,-22.99,,,,,,,,,,,,
2006-02,77523.15,,,,,,,,,,,,,,,,Q4 2010,435029.17,120.04,,,,,,,,,,,,
2006-03,117618.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04,153142.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05,162640.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06,115378.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,96098.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08,133657.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09,153734.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10,88171.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11,121366.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12,143756.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01,101722.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02,117969.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03,92171.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04,138204.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05,76951.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06,63117.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07,103946.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,75300.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09,76928.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-10,79360.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-11,128229.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12,63687.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01,133227.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02,75153.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03,74228.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04,68798.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05,106769.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06,60542.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07,96921.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08,73964.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,68066.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10,107184.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11,91791.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12,138127.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01,65790.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02,95540.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03,110698.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04,85252.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05,103111.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06,95676.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07,80281.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08,68311.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09,72601.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,86456.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11,88938.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12,76279.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01,112587.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02,79289.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03,97969.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04,81159.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05,96925.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06,93889.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07,102799.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08,93584.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09,110519.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10,120273.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,101639.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12,97137.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
